bairro_origem,bairro_destino,peso,logradouro
mangabeira,tamarineira,679.1,R. da Mangabeira
casa amarela,nova descoberta,2637.96,R. Vasco da Gama
casa amarela,alto do mandu,1283.73,R. Coruripe
casa amarela,morro da conceicao,775.2,R. Bugari
casa amarela,alto jose do pinho,1052.78,R. Arnoldo Magalhães
casa amarela,vasco da gama,1583.7,R. Paraisopolis
casa amarela,monteiro,1337.92,R. Altino
linha do tiro,alto jose bonifacio,983.85,R. Alto da Saudade
alto jose bonifacio,brejo de beberibe,1125.7,Av. Ver. Otacilio Azevedo
linha do tiro,alto santa terezinha,808.11,R. Alto Brasil
linha do tiro,brejo de beberibe,2329.92,R. Exp Valdemar Adelino
linha do tiro,agua fria,1242.95,R. Alcantil
encruzilhada,campo grande,1356.39,R. Caturama
encruzilhada,ponto de parada,719.95,R. Joaquim Tavora
brasilia teimosa,pina,2362.71,R. Araguari
pina,boa viagem,3868.16,Av Cons Aguiario
pina,imbiribeira,2317.48,R. São José
brejo da guabiraba,brejo de beberibe,1248.02,R. Coral
brejo da guabiraba,nova descoberta,1458.52,R. Dom Feliciano
brejo da guabiraba,corrego do jenipapo,1161.25,R. Aracari
ilha do retiro,afogados,1667.41,Pte dos Remedios
mustardinha,afogados,1103.25,R. Adolfo Bezerra
ibura,boa viagem,3355.14,R. Prof Aurélio de Castro Cavalcanti
ibura,imbiribeira,2793.72,Av Pres Dutra
ibura,areias,2765.22,R. Álvaro Frangoso
alto jose bonifacio,morro da conceicao,718.43,R. Condor
alto jose bonifacio,alto jose do pinho,1093.08,R. Corrego José Grande
alto jose bonifacio,vasco da gama,722.86,R. Alto do Bambui
alto jose bonifacio,alto santa terezinha,592.73,R. Albino Kross
alto do mandu,macaxeira,1150.71,R. Aroeira
alto do mandu,monteiro,503.46,R. Jaguarana
alto do mandu,nova descoberta,1885.9,R. Nova Descoberta
alto do mandu,apipucos,1096.9,R. Mandacaru
morro da conceicao,alto jose do pinho,704.5,R. Alto Alegre
morro da conceicao,vasco da gama,1016.3,R. Serrana
morro da conceicao,alto santa terezinha,873.2,R. Ipanema
alto jose do pinho,alto santa terezinha,708.77,R. Mario de Andrade
vasco da gama,brejo de beberibe,1558.29,R. Bemposta
vasco da gama,nova descoberta,1233.29,R. N S da Ajuda
boa viagem,imbiribeira,2687.78,R. Adauto Carneiro Leal
alto santa terezinha,agua fria,1274.26,R. Serra Negra
macaxeira,nova descoberta,823.31,R. Alto Buriti
macaxeira,apipucos,1072.68,R. Cel João Batista do Rego Barros
macaxeira,corrego do jenipapo,1223.08,R. Erundina Negreiros de Araujo
brejo de beberibe,nova descoberta,872.98,R. Agrolandia
nova descoberta,corrego do jenipapo,988.43,R. Alvares Florense
monteiro,apipucos,1224.8,R. de Apipucos
imbiribeira,afogados,3055.85,R. Alvorada do Norte
imbiribeira,jiquia,2677.93,R. Juarez Milet
imbiribeira,areias,2468.5,R. Bento Teixeira
jiquia,afogados,1614.84,R. Belem de Maria
sitio dos pintos,dois irmaos,1432.08,R. S D 7198
sitio dos pintos,caxanga,1867.93,Est. dos Pintos
cohab,jordao,2306.43,R. Rio Xingu
cohab,barro,587.71,Av. Doze de Junho
cohab,ibura,1913.60,Av. Dois Rios
pau ferro,guabiraba,4098.86,Est. Mumbeca
guabiraba,corrego do jenipapo,5230.74,R. Francisco Campos
guabiraba,brejo da guabiraba,4413.79,R. Z
guabiraba,passarinho,4387.98,Rod. Conselheiro Joao Campos
cordeiro,santana,1708.2,R. Souza Bandeira
cordeiro,engenho do meio,1834.13,R. Dr. Miguel Vieira Ferreira
cordeiro,san martin,2136.91,R. Paes Cabral
cordeiro,poco,1673.39,R. Jorge Gomes de Sa
poco,iputinga,1426.67,R. Luiz Guimaraes
cabanga,afogados,1848.24,Praca da Paz
afogados,pina,2643.5,Pte. Governador Paulo Guerra
pina,recife,1276.81,R. Princesa Isabel
iputinga,apipucos,1938.09,R. itatiaia
apipucos,corrego do jenipapo,1790.97,R. Leal de Barros
corrego do jenipapo,dois irmaos,2873.4,Av. Recuperação
brasilia teimosa,sao jose,2362.71, Av. Herculano Bandeira
tamarineira,alto jose do pinho,1697.8,R. Guimaraes Peixoto
torreao,espinheiro,953.67,R. Barao Itamaraca
barro,ibura,3166.8,Av. Pernambuco
barro,tejipio,4133.6,Av. Conde Pereira Carneiro
